에피소드=1,아파트수=273, 병원수=255, 기지국수=271, ITS수=241, 수용 가능 인원=54300, 인구수=53997.0, 누적자본=272518172.0, 누적 만족도=100, 누적보상=9003.0
에피소드=2,아파트수=0, 병원수=2, 기지국수=1, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-61.0, 누적 만족도=100, 누적보상=-60.0
에피소드=3,아파트수=260, 병원수=262, 기지국수=246, ITS수=272, 수용 가능 인원=51600, 인구수=51449.0, 누적자본=272316408.0, 누적 만족도=91.0, 누적보상=-4746.0
에피소드=4,아파트수=255, 병원수=255, 기지국수=272, ITS수=258, 수용 가능 인원=50900, 인구수=50880.0, 누적자본=272337384.0, 누적 만족도=100, 누적보상=12033.0
에피소드=5,아파트수=246, 병원수=262, 기지국수=268, ITS수=264, 수용 가능 인원=49200, 인구수=49157.0, 누적자본=255038490.0, 누적 만족도=100, 누적보상=11499.0
에피소드=6,아파트수=238, 병원수=260, 기지국수=258, ITS수=284, 수용 가능 인원=47600, 인구수=47257.0, 누적자본=233780997.0, 누적 만족도=100, 누적보상=12248.0
에피소드=7,아파트수=260, 병원수=255, 기지국수=261, ITS수=264, 수용 가능 인원=51900, 인구수=51691.0, 누적자본=256350682.0, 누적 만족도=100, 누적보상=6017.0
에피소드=8,아파트수=254, 병원수=239, 기지국수=284, ITS수=263, 수용 가능 인원=50800, 인구수=50649.0, 누적자본=274188291.0, 누적 만족도=100, 누적보상=-2421.0
에피소드=9,아파트수=0, 병원수=1, 기지국수=0, ITS수=6, 수용 가능 인원=0, 인구수=0.0, 누적자본=-14.0, 누적 만족도=60, 누적보상=-300.0
에피소드=10,아파트수=256, 병원수=263, 기지국수=265, ITS수=256, 수용 가능 인원=51100, 인구수=51050.0, 누적자본=263806186.0, 누적 만족도=100, 누적보상=856.0
에피소드=11,아파트수=0, 병원수=2, 기지국수=2, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-66.0, 누적 만족도=100, 누적보상=60.0
에피소드=12,아파트수=0, 병원수=1, 기지국수=2, ITS수=3, 수용 가능 인원=0, 인구수=0.0, 누적자본=-35.0, 누적 만족도=100, 누적보상=60.0
에피소드=13,아파트수=232, 병원수=251, 기지국수=285, ITS수=272, 수용 가능 인원=46200, 인구수=45834.0, 누적자본=233446106.0, 누적 만족도=100, 누적보상=12226.0
에피소드=14,아파트수=244, 병원수=262, 기지국수=274, ITS수=260, 수용 가능 인원=48800, 인구수=48500.0, 누적자본=251979401.0, 누적 만족도=100, 누적보상=-531.0
에피소드=15,아파트수=268, 병원수=266, 기지국수=264, ITS수=242, 수용 가능 인원=53000, 인구수=52618.0, 누적자본=271031966.0, 누적 만족도=100, 누적보상=4581.0
에피소드=16,아파트수=274, 병원수=262, 기지국수=260, ITS수=244, 수용 가능 인원=54800, 인구수=54421.0, 누적자본=266084575.0, 누적 만족도=91.0, 누적보상=9823.0
에피소드=17,아파트수=0, 병원수=3, 기지국수=0, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-84.0, 누적 만족도=60, 누적보상=-300.0
