에피소드=1,아파트수=276, 병원수=242, 기지국수=247, ITS수=275, 수용 가능 인원=54900, 인구수=54582.0, 누적자본=283904306.0, 누적 만족도=80.0, 누적보상=-2678.0
에피소드=2,아파트수=0, 병원수=2, 기지국수=0, ITS수=3, 수용 가능 인원=0, 인구수=0.0, 누적자본=-25.0, 누적 만족도=60, 누적보상=-300.0
에피소드=3,아파트수=0, 병원수=1, 기지국수=2, ITS수=3, 수용 가능 인원=0, 인구수=0.0, 누적자본=-30.0, 누적 만족도=100, 누적보상=100.0
에피소드=4,아파트수=259, 병원수=274, 기지국수=253, ITS수=254, 수용 가능 인원=51300, 인구수=51198.0, 누적자본=262117379.0, 누적 만족도=98.0, 누적보상=4147.0
에피소드=5,아파트수=277, 병원수=290, 기지국수=209, ITS수=264, 수용 가능 인원=55400, 인구수=54802.0, 누적자본=276025180.0, 누적 만족도=39.0, 누적보상=-24927.0
에피소드=6,아파트수=243, 병원수=272, 기지국수=252, ITS수=273, 수용 가능 인원=48600, 인구수=48205.0, 누적자본=241080735.0, 누적 만족도=100, 누적보상=11441.0
에피소드=7,아파트수=0, 병원수=1, 기지국수=3, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-38.0, 누적 만족도=100, 누적보상=60.0
에피소드=8,아파트수=262, 병원수=266, 기지국수=248, ITS수=264, 수용 가능 인원=52400, 인구수=52133.0, 누적자본=266569085.0, 누적 만족도=90.0, 누적보상=5848.0
에피소드=9,아파트수=0, 병원수=1, 기지국수=3, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-51.0, 누적 만족도=100, 누적보상=20.0
에피소드=10,아파트수=241, 병원수=279, 기지국수=261, ITS수=259, 수용 가능 인원=48200, 인구수=47863.0, 누적자본=241910457.0, 누적 만족도=100, 누적보상=10745.0
에피소드=11,아파트수=251, 병원수=253, 기지국수=285, ITS수=251, 수용 가능 인원=50200, 인구수=49966.0, 누적자본=262139701.0, 누적 만족도=100, 누적보상=12357.0
에피소드=12,아파트수=247, 병원수=265, 기지국수=270, ITS수=258, 수용 가능 인원=49300, 인구수=49130.0, 누적자본=252446034.0, 누적 만족도=100, 누적보상=7331.0
에피소드=13,아파트수=245, 병원수=282, 기지국수=286, ITS수=227, 수용 가능 인원=49000, 인구수=48601.0, 누적자본=251243004.0, 누적 만족도=100, 누적보상=9180.0
에피소드=14,아파트수=0, 병원수=2, 기지국수=2, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-92.0, 누적 만족도=100, 누적보상=60.0
에피소드=15,아파트수=0, 병원수=2, 기지국수=2, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-74.0, 누적 만족도=100, 누적보상=20.0
에피소드=16,아파트수=241, 병원수=266, 기지국수=272, ITS수=261, 수용 가능 인원=48200, 인구수=47894.0, 누적자본=251754230.0, 누적 만족도=100, 누적보상=11951.0
에피소드=17,아파트수=233, 병원수=258, 기지국수=277, ITS수=272, 수용 가능 인원=46600, 인구수=46200.0, 누적자본=229790801.0, 누적 만족도=100, 누적보상=12143.0
에피소드=18,아파트수=250, 병원수=279, 기지국수=256, ITS수=255, 수용 가능 인원=50000, 인구수=49695.0, 누적자본=265280322.0, 누적 만족도=100, 누적보상=9307.0
에피소드=19,아파트수=0, 병원수=3, 기지국수=1, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-124.0, 누적 만족도=100, 누적보상=60.0
에피소드=20,아파트수=252, 병원수=266, 기지국수=284, ITS수=238, 수용 가능 인원=50400, 인구수=49937.0, 누적자본=248264958.0, 누적 만족도=100, 누적보상=8670.0
에피소드=21,아파트수=0, 병원수=2, 기지국수=1, ITS수=3, 수용 가능 인원=0, 인구수=0.0, 누적자본=-78.0, 누적 만족도=100, 누적보상=20.0
에피소드=22,아파트수=0, 병원수=2, 기지국수=0, ITS수=4, 수용 가능 인원=0, 인구수=0.0, 누적자본=-55.0, 누적 만족도=60, 누적보상=-300.0
에피소드=23,아파트수=268, 병원수=264, 기지국수=243, ITS수=265, 수용 가능 인원=53500, 인구수=53088.0, 누적자본=275095077.0, 누적 만족도=82.0, 누적보상=-8828.0
에피소드=24,아파트수=252, 병원수=284, 기지국수=256, ITS수=248, 수용 가능 인원=50400, 인구수=50026.0, 누적자본=266039739.0, 누적 만족도=100, 누적보상=6726.0
에피소드=25,아파트수=271, 병원수=265, 기지국수=243, ITS수=261, 수용 가능 인원=54200, 인구수=53950.0, 누적자본=268931388.0, 누적 만족도=79.0, 누적보상=6325.0
에피소드=26,아파트수=261, 병원수=254, 기지국수=261, ITS수=264, 수용 가능 인원=52200, 인구수=51992.0, 누적자본=263930529.0, 누적 만족도=100, 누적보상=12341.0
에피소드=27,아파트수=251, 병원수=264, 기지국수=274, ITS수=251, 수용 가능 인원=50000, 인구수=49705.0, 누적자본=257941515.0, 누적 만족도=100, 누적보상=12415.0
에피소드=28,아파트수=280, 병원수=256, 기지국수=245, ITS수=259, 수용 가능 인원=56000, 인구수=55662.0, 누적자본=291340512.0, 누적 만족도=74.0, 누적보상=-5492.0
에피소드=29,아파트수=285, 병원수=248, 기지국수=257, ITS수=250, 수용 가능 인원=56700, 인구수=56404.0, 누적자본=287588123.0, 누적 만족도=81.0, 누적보상=5013.0
에피소드=30,아파트수=259, 병원수=256, 기지국수=273, ITS수=252, 수용 가능 인원=51800, 인구수=51374.0, 누적자본=254689109.0, 누적 만족도=100, 누적보상=10622.0
에피소드=31,아파트수=0, 병원수=2, 기지국수=2, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-74.0, 누적 만족도=100, 누적보상=20.0
에피소드=32,아파트수=267, 병원수=237, 기지국수=252, ITS수=284, 수용 가능 인원=53300, 인구수=52667.0, 누적자본=287197236.0, 누적 만족도=92.0, 누적보상=-23672.0
에피소드=33,아파트수=246, 병원수=280, 기지국수=257, ITS수=257, 수용 가능 인원=49100, 인구수=48720.0, 누적자본=243188601.0, 누적 만족도=100, 누적보상=11963.0
에피소드=34,아파트수=268, 병원수=246, 기지국수=269, ITS수=257, 수용 가능 인원=53600, 인구수=53431.0, 누적자본=282183725.0, 누적 만족도=100, 누적보상=11161.0
에피소드=35,아파트수=235, 병원수=260, 기지국수=274, ITS수=271, 수용 가능 인원=47000, 인구수=46809.0, 누적자본=260771214.0, 누적 만족도=100, 누적보상=11214.0
에피소드=36,아파트수=255, 병원수=293, 기지국수=237, ITS수=255, 수용 가능 인원=51000, 인구수=50769.0, 누적자본=252553667.0, 누적 만족도=86.0, 누적보상=-9190.0
에피소드=37,아파트수=0, 병원수=2, 기지국수=1, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-42.0, 누적 만족도=100, 누적보상=20.0
에피소드=38,아파트수=263, 병원수=263, 기지국수=261, ITS수=253, 수용 가능 인원=52400, 인구수=52266.0, 누적자본=275897442.0, 누적 만족도=100.0, 누적보상=1232.0
에피소드=39,아파트수=244, 병원수=256, 기지국수=275, ITS수=265, 수용 가능 인원=48700, 인구수=48488.0, 누적자본=244511228.0, 누적 만족도=100, 누적보상=9031.0
에피소드=40,아파트수=274, 병원수=251, 기지국수=259, ITS수=256, 수용 가능 인원=54800, 인구수=54341.0, 누적자본=271599540.0, 누적 만족도=91.0, 누적보상=9650.0
에피소드=41,아파트수=0, 병원수=2, 기지국수=2, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-88.0, 누적 만족도=100, 누적보상=100.0
에피소드=42,아파트수=267, 병원수=238, 기지국수=259, ITS수=276, 수용 가능 인원=53100, 인구수=52702.0, 누적자본=268401030.0, 누적 만족도=97.0, 누적보상=4664.0
에피소드=43,아파트수=0, 병원수=2, 기지국수=2, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-84.0, 누적 만족도=100, 누적보상=100.0
에피소드=44,아파트수=265, 병원수=254, 기지국수=251, ITS수=270, 수용 가능 인원=52700, 인구수=52288.0, 누적자본=271679180.0, 누적 만족도=92.0, 누적보상=-7441.0
에피소드=45,아파트수=0, 병원수=1, 기지국수=2, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-14.0, 누적 만족도=100, 누적보상=100.0
에피소드=46,아파트수=272, 병원수=272, 기지국수=249, ITS수=247, 수용 가능 인원=54100, 인구수=54061.0, 누적자본=267917660.0, 누적 만족도=83.0, 누적보상=8558.0
에피소드=47,아파트수=248, 병원수=274, 기지국수=263, ITS수=255, 수용 가능 인원=49500, 인구수=49132.0, 누적자본=243791391.0, 누적 만족도=100, 누적보상=11533.0
에피소드=48,아파트수=249, 병원수=254, 기지국수=259, ITS수=278, 수용 가능 인원=49500, 인구수=49160.0, 누적자본=249007792.0, 누적 만족도=100, 누적보상=12115.0
에피소드=49,아파트수=250, 병원수=238, 기지국수=291, ITS수=261, 수용 가능 인원=49600, 인구수=49303.0, 누적자본=239499327.0, 누적 만족도=100, 누적보상=9560.0
에피소드=50,아파트수=257, 병원수=275, 기지국수=256, ITS수=252, 수용 가능 인원=51200, 인구수=50983.0, 누적자본=259293104.0, 누적 만족도=100, 누적보상=-10600.0
에피소드=51,아파트수=241, 병원수=256, 기지국수=278, ITS수=265, 수용 가능 인원=48100, 인구수=47709.0, 누적자본=239464366.0, 누적 만족도=100, 누적보상=12193.0
에피소드=52,아파트수=238, 병원수=268, 기지국수=248, ITS수=286, 수용 가능 인원=47600, 인구수=47527.0, 누적자본=240347644.0, 누적 만족도=100, 누적보상=12309.0
에피소드=53,아파트수=263, 병원수=283, 기지국수=250, ITS수=244, 수용 가능 인원=52200, 인구수=52139.0, 누적자본=272011608.0, 누적 만족도=92.0, 누적보상=4455.0
에피소드=54,아파트수=276, 병원수=249, 기지국수=277, ITS수=238, 수용 가능 인원=55100, 인구수=54935.0, 누적자본=288327313.0, 누적 만족도=100, 누적보상=11506.0
에피소드=55,아파트수=0, 병원수=3, 기지국수=1, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-117.0, 누적 만족도=100, 누적보상=20.0
에피소드=56,아파트수=238, 병원수=289, 기지국수=272, ITS수=241, 수용 가능 인원=47400, 인구수=46924.0, 누적자본=230891063.0, 누적 만족도=100, 누적보상=11932.0
에피소드=57,아파트수=243, 병원수=279, 기지국수=262, ITS수=256, 수용 가능 인원=48600, 인구수=48494.0, 누적자본=244585816.0, 누적 만족도=100, 누적보상=11775.0
에피소드=58,아파트수=0, 병원수=2, 기지국수=2, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-62.0, 누적 만족도=100, 누적보상=100.0
에피소드=59,아파트수=231, 병원수=288, 기지국수=289, ITS수=232, 수용 가능 인원=46100, 인구수=46018.0, 누적자본=231413851.0, 누적 만족도=100, 누적보상=12214.0
에피소드=60,아파트수=0, 병원수=3, 기지국수=0, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-74.0, 누적 만족도=60, 누적보상=-300.0
에피소드=61,아파트수=247, 병원수=277, 기지국수=253, ITS수=263, 수용 가능 인원=49400, 인구수=49133.0, 누적자본=256185030.0, 누적 만족도=100, 누적보상=7661.0
에피소드=62,아파트수=262, 병원수=256, 기지국수=256, ITS수=266, 수용 가능 인원=51700, 인구수=51357.0, 누적자본=258102777.0, 누적 만족도=100.0, 누적보상=7092.0
에피소드=63,아파트수=260, 병원수=263, 기지국수=260, ITS수=257, 수용 가능 인원=52000, 인구수=51735.0, 누적자본=260516021.0, 누적 만족도=100, 누적보상=10803.0
에피소드=64,아파트수=272, 병원수=257, 기지국수=266, ITS수=245, 수용 가능 인원=54200, 인구수=53635.0, 누적자본=276680710.0, 누적 만족도=99.0, 누적보상=9016.0
에피소드=65,아파트수=265, 병원수=243, 기지국수=281, ITS수=251, 수용 가능 인원=53000, 인구수=52814.0, 누적자본=267525477.0, 누적 만족도=100, 누적보상=9405.0
에피소드=66,아파트수=261, 병원수=257, 기지국수=259, ITS수=263, 수용 가능 인원=52200, 인구수=51735.0, 누적자본=260280763.0, 누적 만족도=100, 누적보상=8702.0
에피소드=67,아파트수=265, 병원수=278, 기지국수=224, ITS수=273, 수용 가능 인원=52800, 인구수=52624.0, 누적자본=283025872.0, 누적 만족도=66.0, 누적보상=-34314.0
에피소드=68,아파트수=0, 병원수=1, 기지국수=2, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-20.0, 누적 만족도=100, 누적보상=20.0
