에피소드=1,아파트수=262, 병원수=243, 기지국수=252, ITS수=283, 수용 가능 인원=52100, 인구수=51802.0, 누적자본=264693969.0, 누적 만족도=95.0, 누적보상=14238.0
에피소드=2,아파트수=263, 병원수=233, 기지국수=256, ITS수=288, 수용 가능 인원=52300, 인구수=51948.0, 누적자본=272546495.0, 누적 만족도=98.0, 누적보상=13870.0
에피소드=3,아파트수=0, 병원수=3, 기지국수=0, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-89.0, 누적 만족도=0, 누적보상=-900.0
에피소드=4,아파트수=261, 병원수=248, 기지국수=269, ITS수=262, 수용 가능 인원=51700, 인구수=51645.0, 누적자본=268891566.0, 누적 만족도=100, 누적보상=23383.0
에피소드=5,아파트수=251, 병원수=248, 기지국수=265, ITS수=276, 수용 가능 인원=50200, 인구수=49908.0, 누적자본=257900836.0, 누적 만족도=100, 누적보상=17966.0
에피소드=6,아파트수=0, 병원수=3, 기지국수=0, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-110.0, 누적 만족도=0, 누적보상=-900.0
에피소드=7,아파트수=259, 병원수=281, 기지국수=260, ITS수=240, 수용 가능 인원=51800, 인구수=51692.0, 누적자본=275034644.0, 누적 만족도=100, 누적보상=15192.0
에피소드=8,아파트수=254, 병원수=259, 기지국수=268, ITS수=259, 수용 가능 인원=50700, 인구수=50570.0, 누적자본=257056448.0, 누적 만족도=100, 누적보상=22518.0
에피소드=9,아파트수=265, 병원수=281, 기지국수=256, ITS수=238, 수용 가능 인원=52800, 인구수=52498.0, 누적자본=271450639.0, 누적 만족도=96.0, 누적보상=16368.0
에피소드=10,아파트수=290, 병원수=269, 기지국수=233, ITS수=248, 수용 가능 인원=57200, 인구수=56996.0, 누적자본=305680763.0, 누적 만족도=56.0, 누적보상=-48244.0
에피소드=11,아파트수=243, 병원수=256, 기지국수=269, ITS수=272, 수용 가능 인원=48500, 인구수=48284.0, 누적자본=260034556.0, 누적 만족도=100, 누적보상=14089.0
에피소드=12,아파트수=280, 병원수=234, 기지국수=269, ITS수=257, 수용 가능 인원=55700, 인구수=55447.0, 누적자본=278537829.0, 누적 만족도=95.0, 누적보상=20012.0
에피소드=13,아파트수=251, 병원수=280, 기지국수=253, ITS수=256, 수용 가능 인원=50200, 인구수=50168.0, 누적자본=264097328.0, 누적 만족도=100, 누적보상=6106.0
에피소드=14,아파트수=0, 병원수=2, 기지국수=1, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-33.0, 누적 만족도=100, 누적보상=0.0
